Sample File;C:\PartyLab\SMPS\202205101400_SMPS.S80
Classifier Model;3080
DMA Model;3081
DMA Inner Radius(cm);0.00937
DMA Outer Radius(cm);0.01961
DMA Characteristic Length(cm);0.44369
CPC Model;3772
Reference Gas Viscosity (Pa*s);1.83245e-005
Reference Mean Free Path (m);6.73e-008
Reference Gas Temperature (K);296.15
Reference Gas Pressure (kPa);101.3
Channels/Decade;64
Multiple Charge Correction;TRUE
Nanoparticle Aggregate Mobility Analysis;FALSE
Diffusion Correction;TRUE
Gas Density;0.0012
Units;dw/dlogDp
Weight;Number
20;05/10/22;15:35:49;14.3;76.2;8.610955e-008;1.790617e-005;;0;33.603;60.2255;106.573;199.931;331.637;400.871;464.77;371.043;422.732;501.182;446.309;252.949;293.136;236.044;194.268;119.596;142.547;115.079;159.227;151.125;113.016;99.7879;126.001;113.681;124.985;133.55;169.411;176.33;189.99;157.684;248.215;264.786;249.712;327.567;230.028;262.114;322.51;325.869;333.385;300.662;405.173;471.808;430.407;488.113;429.459;500.761;501.722;458.088;482.313;521.837;479.674;541.933;511.228;472.368;570.922;520.978;491.621;498.299;522.191;484.822;511.707;479.284;460.699;523.152;508.818;480.118;447.125;405.344;447.259;398.61;420.637;363.907;350.579;389.984;348.554;293.511;295.441;293.225;303.612;280.244;247.241;191.698;190.317;172.38;164.894;154.762;101.589;144.537;153.363;81.7861;86.3801;74.8269;58.69;90.8678;48.2893;66.7326;76.9845;39.7814;58.0617;56.4375;31.3853;53.7931;44.3061;42.0531;50.1591;280;20;FALSE;1;None;5;1;1;1;10.9162;9630.82;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;79.4729;101.513;72.4278;88.1683;2.36911;461.546;
21;05/10/22;15:40:49;14.2;76.2;8.612778e-008;1.790132e-005;;0;0;30.1157;26.6459;24.0113;173.52;98.3503;214.527;169.173;172.534;151.419;88.3841;164.452;186.032;122.497;108.885;73.4961;106.455;91.3886;54.4667;65.4593;66.4337;97.4059;102.265;146.479;87.9434;129.362;140.113;175.813;225.756;203.447;249.791;248.091;253.479;219.739;253.719;359.685;304.305;324.889;349.319;370.541;381.373;380.178;372.512;352.518;478.418;464.994;445.034;475.498;510.388;458.58;444.072;517.95;509.61;459.847;517.946;540.235;523.466;522.718;563.549;572.705;509.173;533.902;475.431;463.128;561.616;523.302;463.411;435.422;473.035;449.995;417.804;341.515;400.248;350.195;361.101;341.607;302.048;271.461;260.666;245.293;233.972;169.411;172.787;128.155;136.239;163.991;101.905;133.297;98.9058;60.9023;94.9832;79.2261;66.172;99.9012;82.0234;53.3337;59.6156;67.1537;47.4609;45.5949;65.8931;47.07;34.0824;38.2883;45.8952;280;20;FALSE;1;None;5;1;1;1;10.911;9627.63;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;89.8745;110.533;84.8793;105.545;2.12487;412.947;
22;05/10/22;15:45:49;14.2;76.1;8.624100e-008;1.790132e-005;;0;0;0;80.0073;127.539;275.527;152.202;219.482;260.702;246.55;192.614;219.403;131.624;151.894;183.848;45.4676;131.439;72.3726;83.3835;141.97;89.9695;108.064;107.372;118.939;150.804;166.718;162.398;174.615;182.779;181.795;171.799;187.175;208.08;288.974;234.926;287.555;332.195;303.39;352.846;255.622;356.396;463.111;415.959;410.127;474.109;433.705;446.166;449.113;483.805;516.367;557.652;544.88;466.598;476.703;465.783;504.365;515.145;469.99;568.213;517.134;544.017;562.261;524.227;505.971;525.087;482.743;618.117;432.512;529.824;495.855;459.332;375.028;401.094;334.684;344.499;366.625;295.405;294.449;276.881;271.402;227.289;204.508;232.117;202.353;165.165;135.828;168.053;150.845;135;98.0084;75.5867;89.6908;104.92;43.4243;64.1705;64.812;68.5206;79.5584;96.2712;73.2437;61.0013;41.4434;43.0561;43.3904;63.6053;35.309;280;20;FALSE;1;None;5;1;1;1;10.8969;9624.04;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;87.3638;108.953;81.7618;130.975;2.20401;433.196;
23;05/10/22;15:50:49;14.1;76.2;8.608949e-008;1.789648e-005;;0;0;30.105;53.2737;24.0036;151.783;235.971;232.338;211.614;389.996;294.681;269.816;269.667;211.514;236.014;146.727;123.446;182.422;113.794;138.905;101.345;97.9396;103.643;58.4788;61.0069;107.203;96.5502;106.028;131.252;192.203;176.356;231.256;205.887;221.105;262.501;270.539;264.107;356.185;395.989;383.627;357.81;446.463;432.665;469.138;482.644;458.412;451.288;491.545;435.935;541.764;445.136;501.471;601.965;503.459;535.108;543.984;555.507;426.791;546.199;544.5;542.216;481.416;488.078;489.722;495.39;517.728;486.559;547.278;460.456;513.316;430.982;399.897;367.104;452.067;382.213;333.865;313.551;271.862;264.183;204.17;209.458;209.938;205.416;191.6;129.311;186.432;133;117.46;83.5064;108.115;98.5202;89.9916;91.655;83.6656;53.0383;53.8813;66.8432;51.807;66.8959;46.2488;48.2457;43.3987;43.7057;44.3049;24.3641;57.5073;280;20;FALSE;1;None;5;1;1;1;10.9128;9626.24;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;84.6179;105.529;79.0834;79.1476;2.2108;435.803;
24;05/10/22;15:55:50;14.1;76.1;8.613472e-008;1.789648e-005;;0;0;0;79.9383;199.859;231.577;216.373;178.774;179.108;178.33;272.785;254.876;234.903;295.464;157.595;157.287;140.071;120.323;117.436;107.904;116.051;132.4;89.6888;88.2118;107.365;103.87;132.789;148.401;188.801;159.518;153.765;174.521;259.11;226.28;282.356;343.312;281.186;289.765;341.03;335.434;389.398;373.305;377.952;367.092;462.976;453.248;477.28;546.177;559.936;582.884;478.744;499.732;499.724;513.641;570.527;500.86;544.59;540.348;486.324;501.335;554.767;544.925;557.372;577.157;528.857;490.59;522.382;426.791;429.129;494.657;419.479;413.517;461.99;414.096;325.742;307.491;325.218;289.945;252.122;288.864;194.899;174.112;218.638;229.099;137.156;111.702;154.533;145.77;164.383;99.5185;63.3219;106.024;105.222;71.903;52.0413;70.946;70.9878;63.0406;38.3377;54.5141;54.7122;32.2414;48.39;33.1755;53.1383;45.8955;280;20;FALSE;1;None;5;1;1;1;10.9071;9624.81;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;85.4387;106.441;79.8145;71.0497;2.21049;437.833;
25;05/10/22;16:00:50;14.0;76.2;8.601732e-008;1.789163e-005;;0;33.572;60.1723;106.483;143.939;151.699;293.109;323.08;257.718;225.125;229.87;91.9737;152.608;142.172;142.627;103.243;95.4835;64.3384;99.8082;77.4947;114.283;98.831;100.323;58.1997;133.961;132.322;171.539;150.292;146.667;188.677;225.107;205.469;228.982;212.452;219.642;302.358;386.88;308.779;375.69;290.115;403.692;424.354;401.863;464.138;496.843;450.427;497.657;542.145;489.406;498.009;549.46;515.491;530.542;528.31;492.295;439.635;494.941;544.417;518.621;539.456;529.572;507.229;489.473;551.644;512.478;517.695;532.907;541.46;438.38;470.339;465.543;434.466;428.948;428.583;358.978;310.805;327.3;241.792;262.519;239.01;232.057;215.356;203.38;209.336;136.669;119.526;136.884;141.252;106.743;110.986;100.047;84.8868;85.5175;87.3665;56.9042;61.2176;55.0223;60.9617;46.9185;63.7668;41.9831;55.5223;45.8819;58.7352;46.152;45.8887;280;20;FALSE;1;None;5;1;1;1;10.9188;9625.92;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;85.3839;107.064;80.5277;117.574;2.20073;435.389;
26;05/10/22;16:05:50;14.0;76.0;8.622099e-008;1.789163e-005;;0;0;0;26.6626;120.129;195.323;312.34;288.51;282.882;220.144;259.308;353.339;236.958;173.681;183.821;198.985;113.913;156.811;99.4539;78.0694;99.0192;117.514;108.408;60.438;99.8839;99.3164;141.196;138.141;169.4;166.32;168.494;175.373;185.021;233.212;252.895;314.825;308.763;362.408;337.044;362.817;360.082;451.844;393.499;434.82;429.058;473.885;487.428;473.89;484.039;512.295;466.892;424.743;508.733;613.56;453.058;512.083;544.461;511.816;516.072;538.528;537.315;451.302;520.707;484.457;529.592;484.287;456.365;485.611;467.32;431.24;427.056;433.478;403.599;373.173;326.32;344.118;237.918;313.096;293.498;240.224;195.919;233.414;201.435;237.112;133.889;124.386;164.941;137.85;145.455;105.021;83.9714;90.7255;92.706;105.477;78.5766;90.8225;48.8301;50.419;51.5755;69.7485;79.3509;36.7887;45.8594;55.2955;40.1721;42.3697;280;20;FALSE;1;None;5;1;1;1;10.8935;9619.47;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;84.7091;107.016;79.2863;82.047;2.24507;433.975;
27;05/10/22;16:10:50;13.9;76.1;8.606941e-008;1.788679e-005;;0;0;30.0974;53.2607;71.9939;143.638;105.656;268.028;166.286;214.104;252.744;176.695;133.717;116.084;86.4008;98.0226;104.079;122.505;99.8757;78.3263;79.9955;111.732;89.3236;133.431;96.1872;177.376;193.179;177.395;144.007;151.594;185.213;217.558;162.3;293.753;277.844;220.823;309.143;300.101;303.173;295.023;401.353;425.89;387.371;412.103;399.752;439.337;495.529;460.266;423.627;504.967;492.086;479.556;479.365;447.101;511.501;483.63;460.679;520.775;479.438;482.379;541.526;501.466;554.617;489.932;429.257;519.933;474.706;435.806;497.768;398.546;419.034;340.545;378.424;351.038;384.059;338.024;332.625;250.291;241.56;215.626;264.3;196.814;210.925;167.041;183.18;164.251;115.597;112.709;105.25;98.4173;75.4707;94.5926;87.267;59.9775;62.4864;83.404;58.4174;60.603;61.9314;73.6352;50.9208;40.6581;36.9808;47.7117;21.1709;44.117;280;20;FALSE;1;None;5;1;1;1;10.9094;9621.66;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;86.9353;108.478;82.3187;113.419;2.16418;407.812;
28;05/10/22;16:15:50;13.8;76.2;8.597462e-008;1.788194e-005;;0;0;0;0;71.9406;21.6631;117.88;142.855;46.5699;91.1009;68.7576;102.429;106.919;67.2391;16.5163;122.231;60.6481;48.0894;116.325;107.008;79.2331;84.9668;79.4991;93.6791;142.454;121.225;114.5;121.888;108.863;126.27;210.063;222.321;212.467;153.044;248.288;231.211;242.466;268.35;356.274;333.725;377.275;492.214;475.29;618.962;594.602;522.975;583.626;534.232;503.924;477.14;540.735;514.677;466.381;541.907;534.736;557.369;540.708;464.634;550.797;578.717;513.451;591.718;502.235;528.972;498.909;485.404;486.323;471.88;422.943;413.205;450.654;461.092;368.854;342.185;275.638;242.69;427.641;277.501;303.023;282.6;254.034;248.573;226.3;155.35;164.724;141.676;140.884;135.399;126.994;76.8273;58.3408;135.235;60.2538;54.3819;72.9024;45.1881;46.4087;56.0564;62.7571;49.006;25.8343;65.4395;59.3053;35.7492;59.1612;50.4395;280;20;FALSE;1;None;5;1;1;1;10.9182;9622.06;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;89.4815;112.006;88.5525;57.2549;2.00967;410.687;
29;05/10/22;16:20:50;13.8;76.1;8.601980e-008;1.788194e-005;;0;0;30.0839;0;23.9882;43.34;137.569;125.035;81.3462;133.642;151.306;113.555;139.135;187.518;214.235;188.162;148.883;164.529;129.855;188.174;147.051;138.253;155.091;152.826;109.256;181.033;178.724;166.863;225.81;219.044;254.503;210.815;230.402;268.644;256.833;294.368;298.653;329.348;398.805;399.399;379.837;429.346;413.169;424.524;400.423;415.241;543.345;511.992;550.368;499.44;546.64;520.385;487.495;474.209;513.421;596.154;498.687;497.031;534.424;516.818;507.407;471.335;489.254;528.762;458.412;448.752;498.267;482.417;490.442;430.91;416.142;430.706;360.683;358.285;321.765;279.559;340.843;296.578;260.595;211.772;208.249;198.041;159.89;163.771;140.172;157.999;116.459;117.578;102.159;131.637;74.6032;91.0508;95.1354;71.5984;72.3692;68.3034;80.613;55.1621;70.9927;61.1948;47.3763;57.0885;57.9937;52.7774;53.113;36.3227;280;20;FALSE;1;None;5;1;1;1;10.9126;9620.63;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;84.6484;107.296;81.7423;88.1683;2.1241;424.899;
30;05/10/22;16:25:50;13.9;76.1;8.610334e-008;1.788679e-005;;0;33.5947;60.2112;26.6373;120.02;108.418;56.9334;216.342;87.8466;127.822;190.289;115.795;164.417;153.171;132.679;185.02;135.846;114.304;104.814;110.036;78.0804;114.189;112.757;120.997;138.349;104.399;129.974;169.598;182.838;156.149;174.46;281.238;246.757;330.477;294.322;253.566;348.397;341.589;385.15;409.263;383.909;386.18;450.928;502.085;474.904;520.928;493.766;505.424;550.992;483.732;513.368;492.955;440.055;600.885;493.104;536.688;590.351;534.548;530.258;485.321;598.566;489.31;549.316;484.958;474.01;446.939;460.326;422.991;460.76;426.66;464.413;349.018;314.079;386.31;342.496;333.927;304.945;316.628;273.093;241.004;177.905;235.042;178.01;233.753;176.788;147.549;108.79;85.7321;85.508;68.2073;61.556;69.9987;85.2426;80.1587;58.2938;70.7458;55.9922;46.0524;50.0519;31.8869;25.8386;34.9564;45.0164;34.0813;24.3645;46.9175;280;20;FALSE;1;None;5;1;1;1;10.9051;9620.59;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;84.2065;104.763;80.8103;82.047;2.10396;422.583;
31;05/10/22;16:30:50;13.9;76.1;8.609203e-008;1.788679e-005;;0;33.5915;0;133.789;167.46;35.1616;46.7646;53.6134;130.217;118.848;68.8061;63.3396;70.2497;54.7008;91.8498;70.6344;109.216;30.5659;52.8026;71.1901;114.518;75.8578;89.8402;94.0566;134.586;106.873;116.583;168.125;127.149;137.714;219.089;143.155;204.396;199.917;284.193;300.652;284.19;352.239;294.161;303.096;344.537;342.87;450.675;386.153;519.708;428.734;476.318;441.012;521.58;507.215;505.823;534.413;597.993;548.064;505.676;444.22;480.007;507.736;563.051;482.973;522.004;449.833;475.592;490.055;459.476;548.537;457.367;396.274;493.795;422.433;366.358;325.403;325.45;353.175;343.125;301.628;360.751;206.591;202.612;222.22;196.124;193.199;209.809;211.628;185.951;167.289;145.514;146.987;94.7296;80.5502;67.6047;105.657;99.5773;61.6397;55.6019;55.2374;56.3612;42.8494;40.4109;38.2638;57.0159;36.1019;41.6503;27.2646;62.6507;36.3261;280;20;FALSE;1;None;5;1;1;1;10.9065;9620.95;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;88.2271;110.616;86.5642;79.1476;2.05339;390.322;
32;05/10/22;16:35:50;13.8;76.2;8.595206e-008;1.788194e-005;;38.1807;0;30.0675;53.2102;47.9524;57.3416;85.5012;107.126;146.361;148.431;164.997;100.901;70.4059;102.653;118.791;127.714;81.0651;155.501;99.799;120.11;140.914;67.9376;156.218;93.7648;159.72;128.832;163.992;202.453;145.011;277.959;160.434;295.641;281.164;255.539;346.357;390.469;328.761;391.4;338.336;414.328;375.863;455.738;468.592;386.246;460.554;423.817;500.692;524.928;533.199;514.112;439.535;502.056;487.653;557.689;489.709;526.813;446.09;543.066;517.567;460.916;474.004;520.218;454.997;432.363;448.968;458.837;444.737;404.117;412.724;415.828;384.463;408.386;323.107;328.726;348.872;312.175;307.298;245.212;237.173;223.427;214.711;207.245;162.498;135.572;143.393;145.982;116.104;123.543;95.7731;99.4759;80.0229;97.6357;76.6371;83.6568;55.3308;65.2558;50.2732;33.2853;37.5316;31.5894;16.4411;29.6451;31.1128;43.425;27.8398;24.7072;280;20;FALSE;1;None;5;1;1;1;10.921;9622.78;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;82.418;103.785;80.4347;82.047;2.07776;406.633;
33;05/10/22;16:40:50;13.9;76.2;8.599033e-008;1.788679e-005;;0;0;30.0782;26.6141;23.984;64.9991;137.547;142.875;153.353;112.431;206.298;114.914;163.04;69.6978;47.186;112.514;95.2686;80.4496;81.4885;70.8774;91.969;115.561;118.325;69.4303;170.296;136.283;184.638;186.264;186.265;226.76;205.051;205.529;278.688;256.47;245.031;355.169;305.273;355.536;369.456;399.547;310.031;462.091;433.473;515.811;497.325;545.249;433.228;504.153;510.479;478.159;543.744;511.39;536.655;467.155;454.428;518.142;485.287;524.425;534.872;464.708;551.545;504.43;405.362;517.707;482.207;514.121;413.648;402.899;452.802;388.651;384.268;371.928;371.903;343.289;318.894;298.588;259.632;271.85;236.987;245.228;191.175;206.225;206.373;127.585;202.322;115.579;108.787;77.9822;73.3483;102.437;54.7148;93.3739;94.6933;81.0246;76.1031;79.6607;40.3876;68.2568;36.5637;38.5503;26.1475;46.9119;54.6771;48.502;46.1463;38.8275;280;20;FALSE;1;None;5;1;1;1;10.9192;9624.17;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;83.9204;106.372;82.245;105.545;2.07918;406.223;
34;05/10/22;16:45:50;14.0;76.2;8.597219e-008;1.789163e-005;;0;0;60.1505;26.6116;23.9818;43.3289;98.2393;78.0851;196.158;38.12;55.0087;101.687;151.856;58.842;98.105;51.1603;131.493;74.6431;117.185;45.155;66.2871;111.275;84.5338;89.4969;134.168;175.411;196.072;183.085;215.567;183.596;169.494;174.962;236.675;307.324;207.072;344.705;388.199;350.905;317.92;451.398;388.077;347.092;501.216;475.517;452.325;485.248;512.633;516.963;569.804;565.515;535.872;529.393;496.027;458.976;484.529;548.843;520.95;465.216;473.624;437.699;469.012;427.314;428.681;473.394;496.418;477.698;482.005;430.075;386.589;396.507;400.554;362.758;355.318;357.12;343.452;313.753;282.831;273.324;283.156;239.866;172.355;144.491;176.884;159.774;146.534;159.953;105.431;75.0386;106.111;70.3457;74.7051;63.3937;68.9894;74.7652;58.0254;54.6319;51.5568;46.0446;43.2087;51.601;50.6384;74.3244;52.9613;27.2605;38.5758;36.0213;280;20;FALSE;1;None;5;1;1;1;10.9244;9627.35;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;83.9341;106.841;83.4605;68.539;2.0411;397.921;
35;05/10/22;16:50:50;14.5;76.1;8.629932e-008;1.791585e-005;;0;0;0;79.99;0.0575316;65.1566;177.256;125.294;260.824;223.161;165.362;151.672;188.132;134.135;252.925;173.604;171.344;189.101;139.029;138.917;116.99;121.471;137.847;115.203;115.614;193.508;206.593;213.468;169.748;178.206;221.09;290.965;260.271;328.763;282.246;330.705;355.048;402.834;460.847;414.115;458.264;472.469;509.488;449.86;486.49;533.422;570.496;582.064;615.752;593.102;582.642;525.794;572.166;504.952;527.851;579.98;576.397;431.955;522.202;487.413;480.401;452.919;464.647;488.567;519.316;440.225;459.097;369.132;431.195;445.591;432.489;386.499;340.561;398.855;360.436;337.085;303.342;259.168;253.576;244.584;244.272;220.464;157.199;121.076;131.636;114.194;109.964;109.57;137.833;75.4722;63.7963;94.9178;79.6527;62.7417;57.5519;52.2297;63.9518;70.3921;43.8066;41.0146;48.9146;63.2222;33.0065;66.3162;27.087;50.6597;280;20;FALSE;1;None;5;1;1;1;10.8985;9630.01;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;78.9443;102.118;77.6552;68.539;2.12767;442.857;
36;05/10/22;16:55:50;14.7;76.1;8.637596e-008;1.792553e-005;;0;0;30.183;0;24.0603;55.8472;67.599;89.5463;16.3104;14.8852;96.5096;112.75;106.858;90.014;120.473;83.6252;95.1328;118.996;128.957;142.68;133.837;120.671;113.061;117.221;195.021;171.785;204.867;170.865;173.816;178.132;301.064;215.927;241.835;319.248;261.39;323.117;354.678;407.817;374.321;423.615;367.436;416.346;474.556;480.638;500.087;525.518;498.836;494.335;464.473;518.737;508.197;554.502;493.054;461.695;517.955;474.569;527.275;519.649;483.146;526.194;540.883;478.452;476.121;417.308;453.942;377.371;449.032;389.16;351.324;371.736;377.955;366.095;366.857;303.445;350.619;278.524;241.518;270.22;215.722;249.737;206.059;175.75;173.032;173.236;132.472;109.49;86.2472;105.716;139.497;77.8837;87.5665;86.8761;68.787;48.9096;51.857;51.5117;64.0901;37.9711;50.8881;48.1722;36.0308;42.8442;36.9954;43.3779;39.2638;39.8708;280;20;FALSE;1;None;5;1;1;1;10.8949;9632.78;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;82.3798;104.969;82.053;76.3506;2.02773;399.13;
37;05/10/22;17:00:49;14.7;76.2;8.626264e-008;1.792553e-005;;0;0;0;53.3589;48.0806;21.715;39.3835;53.6884;48.8967;53.1495;68.5583;56.2508;58.7833;79.5236;58.6298;83.5883;104.191;128.036;94.5383;76.8158;79.8071;94.165;136.387;123.114;194.224;171.136;193.407;158.374;177.427;225.167;196.976;204.47;312.322;331.513;305.615;327.281;314.429;418.389;372.283;384.768;477.701;446.71;495.731;441.291;464.871;520.024;503.529;564.72;479.768;566.715;518.45;501.536;436.926;544.613;524.21;486.121;514.408;449.835;486.859;462.579;470.581;456.791;463.945;524.396;447.229;374.045;408.301;352.377;432.298;429.338;411.065;318.164;294.926;350.377;350.891;223.678;271.264;246.459;196.875;241.914;168.458;194.605;167.121;137.564;175.98;165.293;127.737;103.736;105.634;64.651;61.3615;48.6208;81.1911;50.4862;38.052;29.7951;55.1337;62.4436;40.7509;32.9561;29.5124;25.0302;18.1726;40.906;31.3322;24.7171;280;20;FALSE;1;None;5;1;1;1;10.9089;9636.37;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;82.0837;103.815;82.3709;71.0497;1.98344;391.894;
38;05/10/22;17:05:49;14.6;76.2;8.626964e-008;1.792069e-005;;0;0;30.1558;26.6797;0;108.576;59.0758;17.8963;114.093;29.7505;13.7783;87.8858;84.205;97.2928;136.677;80.1817;112.834;94.4692;74.6349;85.748;51.8576;98.5767;101.961;163.928;124.27;155.955;213.141;158.027;237.16;284.597;181.991;293.847;292.043;273.153;328.903;439.311;406.558;409.694;399.956;496.868;452.147;477.413;500.462;448.885;480.744;545.453;548.532;536.427;586.916;542.17;531.946;561.744;558.043;601.345;614.677;485.542;558.732;504.345;570.21;520.382;484.31;507.186;474.514;445.191;462.856;464.497;417.491;434.97;387.267;411.638;406.143;373.016;401.341;335.973;327.708;324.672;254.885;247.799;231.475;212.478;214.669;215.259;199.569;111.76;152.512;123.47;109.699;112.629;89.0684;90.3851;78.7433;89.7607;55.0983;63.0452;33.256;62.5695;42.4751;61.4166;34.4182;37.4016;67.4696;32.8977;41.7142;33.1613;29.3447;59.4734;280;20;FALSE;1;None;5;1;1;1;10.9051;9633.55;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;81.985;104.302;82.3854;85.0526;1.99153;419.352;
39;05/10/22;17:10:49;14.5;76.2;8.625399e-008;1.791585e-005;;0;0;0;0;24.0367;21.7119;39.3782;71.5753;228.157;82.9287;102.282;87.9464;118.026;156.212;109.664;149.701;148.713;138.702;127.847;145.682;91.365;145.016;229.45;172.269;166.608;221.126;200.785;217.093;188.49;256.211;295.124;440.813;351.191;332.006;490.543;433.118;490.022;530.875;587.233;564.012;600.96;618.338;552.505;540.97;524.74;563.869;632.71;527.946;583.936;557.84;543.904;668.541;603.335;570.972;575.909;575.775;548.234;566.058;588.688;478.856;530.988;487.884;541.951;516.837;476.266;437.768;387.711;410.265;445.716;378.839;378.974;337.845;340.548;345.927;306.483;270.447;250.611;245.437;217.18;164.388;210.032;176.937;118.118;170.339;137.336;120.369;112.169;105.339;70.6197;96.326;71.8545;59.2288;99.56;65.6556;65.6269;61.8514;60.9314;56.5657;32.825;44.2221;61.1917;23.6998;13.4508;36.5717;28.7952;38.8406;280;20;FALSE;1;None;5;1;1;1;10.9041;9631.44;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;75.7891;97.4972;76.3822;76.3506;2.00561;456.102;
40;05/10/22;17:15:49;14.5;76.1;8.634469e-008;1.791585e-005;;0;0;60.3451;0;24.0528;34.2286;87.1682;89.5217;81.5305;133.933;206.756;151.71;118.641;133.001;120.316;74.3451;95.7673;71.5384;106.378;76.221;142.025;142.998;110.291;101.822;176.053;150.72;162.545;225.249;222.431;252.094;279.069;349.965;337.131;369.474;348.771;444.975;447.373;440.25;566.281;453.509;566.329;511.226;637.893;580.282;568.793;656.739;604.333;604.708;564.226;570.366;563.937;562.41;509.801;466.155;564.164;558.791;502.328;560.848;521.968;461.527;505.857;516.469;453.662;444.318;447.118;425.036;359.84;414.724;366.086;362.535;369.72;317.619;327.884;304.601;319.043;324.321;260.542;217.64;212.322;196.224;206.771;187.659;150.683;199.23;150.745;147.317;112.643;114.103;75.4981;101.011;68.7483;88.6027;71.901;49.1932;44.5089;41.717;45.7192;12.0762;31.2923;28.7072;22.6159;26.3646;33.6308;23.8643;38.2989;35.3137;280;20;FALSE;1;None;5;1;1;1;10.8929;9628.57;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;75.3544;97.888;76.8819;61.5265;2.00927;434.048;
41;05/10/22;17:20:49;14.5;76.1;8.628798e-008;1.791585e-005;;0;0;271.429;80.0469;48.0855;65.1514;98.4682;107.387;81.5017;119.011;55.1171;126.386;107.105;163.094;91.9522;121.74;112.195;96.1666;98.0434;76.1105;145.133;115.79;87.7746;78.7826;176.288;173.077;255.176;252.742;242.577;256.042;293.712;246.027;335.51;375.352;402.016;434.057;473.439;468.977;492.09;493.749;515.156;517.812;481.965;535.364;520.413;556.064;614.95;567.979;572.788;590.691;679.517;552.524;626.804;558.899;531.808;552.431;505.883;535.918;540.552;469.17;495.712;511.244;461.042;486.469;540.248;420.981;419.742;460.18;358.76;399.161;308.288;310.384;339.589;354.498;341.492;285.518;261.172;262.376;210.508;209.767;175.525;206.926;140.793;131.986;171.761;117.183;124.453;83.1213;70.3295;53.0405;66.7317;115.894;75.9988;54.938;50.9403;50.0087;57.6461;42.9926;39.9303;54.982;54.9202;23.0673;36.9912;37.4983;48.7406;26.7659;280;20;FALSE;1;None;5;1;1;1;10.8999;9630.37;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;76.3797;98.6859;76.5196;73.6525;2.05533;442.098;
42;05/10/22;17:25:49;14.3;76.2;8.618871e-008;1.790617e-005;;0;0;0;0;24.0231;86.8008;19.6789;35.7699;114.024;59.4664;55.0823;101.047;129.258;101.714;68.501;102.604;118.31;82.911;152.884;147.879;105.87;188.462;76.0598;134.013;210.712;172.784;196.392;246.566;265.973;259.287;275.251;295.539;388.986;365.445;364.787;373.278;385.638;416.057;448.673;451.957;486.31;444.662;499.067;487.604;498.318;481.831;528.285;602.071;529.688;612.23;503.741;617.977;551.093;604.118;555.785;493.021;573.12;541.462;429.749;510.544;429.904;451.434;490.055;448.338;450.364;471.076;413.319;377.652;309.543;365.32;324.493;304.755;334.619;336.269;203.03;225.378;254.319;187.452;226.712;175.291;222.428;220.876;136.089;140.372;156.508;153.579;87.2688;77.7351;82.6478;95.6467;59.2974;102.021;64.05;56.6335;49.2999;35.7056;44.2425;39.6003;56.3147;12.7562;48.4528;44.8194;31.5978;34.0851;31.6084;42.0849;280;20;FALSE;1;None;5;1;1;1;10.9063;9628.31;11.9709;542.469;1.2;IZO;Normal Scan;1.129;4.13645;1000;77.4167;99.5979;78.2017;76.3506;1.99866;413.709;
